pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional
pw_b06446df,SAP_G_1,117_1,1,1
pw_b119ca97,SAP_G_1,117_2,1,1
pw_5bb48a68,SME_G_1,116_1,1,1
pw_fae42384,SME_G_1,116_2,1,1
pw_b06f99d3,SME_G_2,116_1,1,1
pw_b9836a8e,SME_G_2,116_2,1,1
pw_1febd1c2,SOT_G_1,115_1,1,1
pw_d57adeaa,SOT_G_1,115_2,1,1
pw_77f3dacd,SAL_G_1,114_1,1,1
pw_28801bef,SAL_G_1,114_2,1,1
pw_f65973fd,SAL_G_1,216_1,1,1
pw_b748fb56,SAL_G_1,216_2,1,1
pw_97c666a0,SAL_G_2,114_1,1,1
pw_68d97717,SAL_G_2,114_2,1,1
pw_9eb86dc7,SAL_G_2,216_1,1,1
pw_e58b8274,SAL_G_2,216_2,1,1
pw_bdf57b21,SGU_G_1,113_1,1,1
pw_29b3ab80,SGU_G_1,113_2,1,1
pw_0074548a,SGU_G_2,113_1,1,1
pw_a491ccc1,SGU_G_2,113_2,1,1
pw_7d0a1bdc,SLM_G_1,112_1,1,1
pw_a484fe1c,SLM_G_1,112_2,1,1
pw_739dd1f4,SLM_G_2,112_1,1,1
pw_7442fcb9,SLM_G_2,112_2,1,1
pw_571a0d38,SSA_G_1,111_1,1,1
pw_bd3871e9,SSA_G_1,111_2,1,1
pw_1bf7023d,SSA_G_2,111_1,1,1
pw_0f9864d4,SSA_G_2,111_2,1,1
pw_2aff50d0,SSA_G_3,111_1,1,1
pw_b6934336,SSA_G_3,111_2,1,1
pw_30f04c67,SCR_G_1,110_1,1,1
pw_29fddbcd,SCR_G_1,110_2,1,1
pw_57ee5fce,SCR_G_2,110_1,1,1
pw_2d710525,SCR_G_2,110_2,1,1
pw_560e997d,SCR_G_3,110_1,1,1
pw_b0708a9c,SCR_G_3,110_2,1,1
pw_3a9277df,SCR_G_4,110_1,1,1
pw_95afdcbe,SCR_G_4,110_2,1,1
pw_a9d237ba,STE_G_1,109_1,1,1
pw_51be2795,STE_G_1,109_2,1,1
pw_e44d4048,STE_G_2,109_1,1,1
pw_848807e1,STE_G_2,109_2,1,1
pw_f9f34dca,STE_G_3,109_1,1,1
pw_1d443738,STE_G_3,109_2,1,1
pw_3bb0880d,STE_G_4,109_1,1,1
pw_fa32e5b7,STE_G_4,109_2,1,1
pw_42cc95d4,SGM_G_1,108_1,1,1
pw_1220bbe0,SGM_G_1,108_2,1,1
pw_d6c58c71,SGM_G_2,108_1,1,1
pw_0083a71f,SGM_G_2,108_2,1,1
pw_1a9ce6d9,SGM_G_3,108_1,1,1
pw_fe39fa70,SGM_G_3,108_2,1,1
pw_25b1fcaf,SGM_G_4,108_1,1,1
pw_8aa068a6,SGM_G_4,108_2,1,1
pw_61f19a86,SGM_G_5,108_1,1,1
