route_id,service_id,trip_id,trip_headsign
73883,SUN,0240101_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
93034,SUN,0170102_SUN,ST.THOMAS MOUNT
92440,SUN,0240103_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
93034,SUN,0170104_SUN,ST.THOMAS MOUNT
92440,SUN,0240105_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
93034,SUN,0170106_SUN,ST.THOMAS MOUNT
92440,SUN,0240107_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
93034,SUN,0170108_SUN,ST.THOMAS MOUNT
92440,SUN,0240109_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
93034,SUN,0170110_SUN,ST.THOMAS MOUNT
92440,SUN,0230111_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
89789,SUN,0020112_SUN,AIRPORT
57967,SUN,0230113_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
89789,SUN,0020114_SUN,AIRPORT
57967,SUN,0230115_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
89789,SUN,0020116_SUN,AIRPORT
57967,SUN,0230117_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
89789,SUN,0020118_SUN,AIRPORT
57967,SUN,0230119_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
89789,SUN,0020120_SUN,AIRPORT
57967,SUN,0230121_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
93034,SUN,0170201_SUN,ST.THOMAS MOUNT
92440,SUN,0240202_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
93034,SUN,0170203_SUN,ST.THOMAS MOUNT
92440,SUN,0240204_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
93034,SUN,0170205_SUN,ST.THOMAS MOUNT
92440,SUN,0240206_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
93034,SUN,0170207_SUN,ST.THOMAS MOUNT
92440,SUN,0240208_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
93034,SUN,0170209_SUN,ST.THOMAS MOUNT
92440,SUN,0240210_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
93034,SUN,0170211_SUN,ST.THOMAS MOUNT
92440,SUN,0240212_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
93034,SUN,0170213_SUN,ST.THOMAS MOUNT
92440,SUN,0240214_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
93034,SUN,0170215_SUN,ST.THOMAS MOUNT
92440,SUN,0240216_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
93034,SUN,0170217_SUN,ST.THOMAS MOUNT
92440,SUN,0240218_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
93034,SUN,0170219_SUN,ST.THOMAS MOUNT
92440,SUN,0240220_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
93034,SUN,0170221_SUN,ST.THOMAS MOUNT
92440,SUN,0240222_SUN,PURATCHI THALAIVAR DR.M.G.RAMACHANDRAN CENTRAL METRO
93034,SUN,0170223_SUN,ST.THOMAS MOUNT
85829,SUN,1130301_SUN,WIMCO NAGAR DEPOT STATION
76981,SUN,0010302_SUN,AIRPORT
57388,SUN,1130303_SUN,WIMCO NAGAR DEPOT STATION
76981,SUN,0010304_SUN,AIRPORT
57388,SUN,1130305_SUN,WIMCO NAGAR DEPOT STATION
