pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional
pw_f35e321e,PV_1,PV_P_1,1,1
pw_8fda9d70,PV_1,PV_P_2,1,1
pw_5a6ff03e,PV_1,PV_P_3,1,1
pw_098a254f,PV_1,PV_P_4,1,1
pw_a662dd63,PV_2,PV_P_1,1,1
pw_a652ecf5,PV_2,PV_P_2,1,1
pw_a1c4887f,PV_2,PV_P_3,1,1
pw_774a69aa,PV_2,PV_P_4,1,1
pw_f279a964,PV_3,PV_P_1,1,1
pw_fe45737b,PV_3,PV_P_2,1,1
pw_8af2b273,PV_3,PV_P_3,1,1
pw_fe364c25,PV_3,PV_P_4,1,1
pw_9ab6feea,PV_4,PV_P_1,1,1
pw_932a2638,PV_4,PV_P_2,1,1
pw_a934d3e7,PV_4,PV_P_3,1,1
pw_928aca5c,PV_4,PV_P_4,1,1
pw_671d08fe,PV_5,PV_P_1,1,1
pw_424ee993,PV_5,PV_P_2,1,1
pw_358dd512,PV_5,PV_P_3,1,1
pw_45d61c2b,PV_5,PV_P_4,1,1
pw_eee117f5,TLM_1,TLM_P_1,1,1
pw_78f8950f,TLM_1,TLM_P_2,1,1
pw_3b841552,TLM_1,TLM_P_3,1,1
pw_1a7c8f62,TLM_1,TLM_P_4,1,1
pw_d381b9a5,TLM_2,TLM_P_1,1,1
pw_7f098537,TLM_2,TLM_P_2,1,1
pw_87c4d14e,TLM_2,TLM_P_3,1,1
pw_5bec59de,TLM_2,TLM_P_4,1,1
pw_bd420ab9,MN_1,MN_P_1,1,1
pw_2104258a,MN_1,MN_P_2,1,1
pw_1af163a3,MN_1,MN_P_3,1,1
pw_fc3ddd49,MN_1,MN_P_4,1,1
pw_1eab0df0,MN_2,MN_P_1,1,1
pw_827475b7,MN_2,MN_P_2,1,1
pw_318e47b7,MN_2,MN_P_3,1,1
pw_e72b4c02,MN_2,MN_P_4,1,1
pw_259c83d7,PZA_1,PZA_P_1,1,1
pw_6a3135f2,PZA_1,PZA_P_2,1,1
pw_64eb6fb9,PZA_1,PZA_P_3,1,1
pw_20221d26,PZA_1,PZA_P_4,1,1
pw_3720d193,PZA_2,PZA_P_1,1,1
pw_ed15588a,PZA_2,PZA_P_2,1,1
pw_ddaf8024,PZA_2,PZA_P_3,1,1
pw_de77a1de,PZA_2,PZA_P_4,1,1
pw_7483b3fa,PZA_3,PZA_P_1,1,1
pw_c6fd00a2,PZA_3,PZA_P_2,1,1
pw_618bfcab,PZA_3,PZA_P_3,1,1
pw_8a21232f,PZA_3,PZA_P_4,1,1
pw_7bab6f19,PZA_4,PZA_P_1,1,1
pw_a3b9b0c1,PZA_4,PZA_P_2,1,1
pw_01a2c7fe,PZA_4,PZA_P_3,1,1
pw_dc78f888,PZA_4,PZA_P_4,1,1
pw_96b26cc7,PZA_5,PZA_P_1,1,1
pw_08146080,PZA_5,PZA_P_2,1,1
pw_267db276,PZA_5,PZA_P_3,1,1
pw_9773fd35,PZA_5,PZA_P_4,1,1
pw_7b88f488,STM_1,STM_P_1,1,1
pw_e28928f5,STM_1,STM_P_2,1,1
pw_59203388,STM_1,STM_P_3,1,1
pw_2bef9503,STM_1,STM_P_4,1,1
pw_06c6f6d0,STM_2,STM_P_1,1,1
pw_e2d19b6a,STM_2,STM_P_2,1,1
pw_a93a9511,STM_2,STM_P_3,1,1
pw_258ea254,STM_2,STM_P_4,1,1
pw_506c3c80,STM_3,STM_P_1,1,1
pw_b66be07b,STM_3,STM_P_2,1,1
pw_5a056613,STM_3,STM_P_3,1,1
pw_1d19e390,STM_3,STM_P_4,1,1
pw_29b5c39f,GDY_1,GDY_P_1,1,1
pw_240decb8,GDY_1,GDY_P_2,1,1
pw_1da0ca03,GDY_1,GDY_P_3,1,1
pw_e059c931,GDY_1,GDY_P_4,1,1
pw_689f411d,GDY_2,GDY_P_1,1,1
pw_d229ded4,GDY_2,GDY_P_2,1,1
pw_2717ed95,GDY_2,GDY_P_3,1,1
pw_7931ce20,GDY_2,GDY_P_4,1,1
pw_46e7e617,SP_1,SP_P_1,1,1
pw_68aedaba,SP_1,SP_P_2,1,1
pw_d6ba9b5d,SP_1,SP_P_3,1,1
pw_45f67280,SP_1,SP_P_4,1,1
pw_0eb814a6,SP_2,SP_P_1,1,1
pw_30a29657,SP_2,SP_P_2,1,1
pw_307a4456,SP_2,SP_P_3,1,1
pw_d8db677e,SP_2,SP_P_4,1,1
pw_011fa6c1,MBM_1,MBM_P_1,1,1
pw_d28a1144,MBM_1,MBM_P_2,1,1
pw_bbfe734b,MBM_1,MBM_P_3,1,1
pw_03056a16,MBM_1,MBM_P_4,1,1
pw_3a3e98cd,MBM_2,MBM_P_1,1,1
pw_51cdc821,MBM_2,MBM_P_2,1,1
pw_29d447d3,MBM_2,MBM_P_3,1,1
pw_26576f24,MBM_2,MBM_P_4,1,1
pw_beab2eb8,MBM_3,MBM_P_1,1,1
pw_ddc48f56,MBM_3,MBM_P_2,1,1
pw_60e3ea8a,MBM_3,MBM_P_3,1,1
pw_149cfda9,MBM_3,MBM_P_4,1,1
pw_fef51807,MBM_4,MBM_P_1,1,1
pw_9b971c17,MBM_4,MBM_P_2,1,1
pw_c3c5aadd,MBM_4,MBM_P_3,1,1
pw_e0ac199b,MBM_4,MBM_P_4,1,1
pw_78615fd3,MBM_5,MBM_P_1,1,1
pw_25edcf05,MBM_5,MBM_P_2,1,1
pw_7e63f23d,MBM_5,MBM_P_3,1,1
pw_12bea312,MBM_5,MBM_P_4,1,1
pw_1feefe84,MKK_1,MKK_P_1,1,1
pw_2d9422eb,MKK_1,MKK_P_2,1,1
pw_9a5feaf1,MKK_1,MKK_P_3,1,1
pw_34b2eb51,MKK_1,MKK_P_4,1,1
pw_5a7996bc,MKK_2,MKK_P_1,1,1
pw_1558d0bc,MKK_2,MKK_P_2,1,1
pw_346132ea,MKK_2,MKK_P_3,1,1
pw_2bc820d5,MKK_2,MKK_P_4,1,1
pw_99866397,MKK_3,MKK_P_1,1,1
pw_366b7d3c,MKK_3,MKK_P_2,1,1
pw_bdee3df0,MKK_3,MKK_P_3,1,1
pw_60c0ab1f,MKK_3,MKK_P_4,1,1
pw_051e1274,NBK_1,NBK_P_1,1,1
pw_c16522b9,NBK_1,NBK_P_2,1,1
pw_7ce5b009,NBK_1,NBK_P_3,1,1
pw_d4c0214c,NBK_1,NBK_P_4,1,1
pw_c9c90ae0,NBK_2,NBK_P_1,1,1
pw_0f903fea,NBK_2,NBK_P_2,1,1
pw_0d212faa,NBK_2,NBK_P_3,1,1
pw_ea49e2c8,NBK_2,NBK_P_4,1,1
pw_acc0c89f,NBK_3,NBK_P_1,1,1
pw_017997c8,NBK_3,NBK_P_2,1,1
pw_149643d1,NBK_3,NBK_P_3,1,1
pw_f808f9c8,NBK_3,NBK_P_4,1,1
pw_abd1f535,MSC_1,MSC_P_1,1,1
pw_3e812a4e,MSC_1,MSC_P_2,1,1
pw_8beeaa5e,MSC_1,MSC_P_3,1,1
pw_2edefdb3,MSC_1,MSC_P_4,1,1
pw_49de1481,MSC_2,MSC_P_1,1,1
pw_f3b0cf23,MSC_2,MSC_P_2,1,1
pw_8b1d166a,MSC_2,MSC_P_3,1,1
pw_4c5a5f9a,MSC_2,MSC_P_4,1,1
pw_c75ce7b8,MS_1,MS_P_1,1,1
pw_c300b0a5,MS_1,MS_P_10,1,1
pw_965545ad,MS_1,MS_P_2,1,1
pw_7c5d9199,MS_1,MS_P_3,1,1
pw_9d9d23d1,MS_1,MS_P_4,1,1
pw_4b1ca734,MS_2,MS_P_1,1,1
pw_695bdd71,MS_2,MS_P_10,1,1
pw_088fcea8,MS_2,MS_P_2,1,1
pw_45609cad,MS_2,MS_P_3,1,1
pw_dd8daca3,MS_2,MS_P_4,1,1
pw_99ab2b51,MS_3,MS_P_1,1,1
pw_d608dbe2,MS_3,MS_P_10,1,1
pw_26b6e7cb,MS_3,MS_P_2,1,1
pw_576412f3,MS_3,MS_P_3,1,1
pw_e9ee3e52,MS_3,MS_P_4,1,1
pw_92e189fc,MS_4,MS_P_1,1,1
pw_b75e774f,MS_4,MS_P_10,1,1
pw_ff32c4ff,MS_4,MS_P_2,1,1
pw_915af0a5,MS_4,MS_P_3,1,1
pw_e7e8066f,MS_4,MS_P_4,1,1
pw_3c504444,MS_5,MS_P_1,1,1
pw_c3d731e5,MS_5,MS_P_10,1,1
pw_d95ed8b9,MS_5,MS_P_2,1,1
pw_d6c41f5a,MS_5,MS_P_3,1,1
pw_5cb51f58,MS_5,MS_P_4,1,1
pw_464f0fed,MS_6,MS_P_1,1,1
pw_00f29990,MS_6,MS_P_10,1,1
pw_f91f2788,MS_6,MS_P_2,1,1
