route_id,route_short_name,route_long_name,route_desc,route_type,agency_id
40001,40001,MSB-TBM,MSB-TBM,1,SR
40002,40002,TBM-MSB,TBM-MSB,1,SR
40003,40003,MSB-TBM,MSB-TBM,1,SR
40004,40004,TBM-MSB,TBM-MSB,1,SR
40005,40005,MSB-TBM,MSB-TBM,1,SR
40006,40006,TBM-MSB,TBM-MSB,1,SR
40007,40007,MSB-TBM,MSB-TBM,1,SR
40008,40008,TBM-MSB,TBM-MSB,1,SR
40009,40009,MSB-TBM,MSB-TBM,1,SR
40010,40010,TBM-MSB,TBM-MSB,1,SR
40011,40011,MSB-TBM,MSB-TBM,1,SR
40012,40012,TBM-MSB,TBM-MSB,1,SR
40013,40013,MSB-TBM,MSB-TBM,1,SR
40014,40014,TBM-MSB,TBM-MSB,1,SR
40015,40015,MSB-TBM,MSB-TBM,1,SR
40016,40016,TBM-MSB,TBM-MSB,1,SR
40017,40017,MSB-TBM,MSB-TBM,1,SR
40018,40018,TBM-MSB,TBM-MSB,1,SR
40019,40019,MSB-TBM,MSB-TBM,1,SR
40020,40020,TBM-MSB,TBM-MSB,1,SR
40021,40021,MSB-TBM,MSB-TBM,1,SR
40022,40022,TBM-MSB,TBM-MSB,1,SR
40024,40024,TBM-MSB,TBM-MSB,1,SR
40025,40025,MSB-TBM,MSB-TBM,1,SR
40026,40026,TBM-MSB,TBM-MSB,1,SR
40027,40027,MSB-TBM,MSB-TBM,1,SR
40028,40028,TBM-MSB,TBM-MSB,1,SR
40029,40029,MSB-TBM,MSB-TBM,1,SR
40030,40030,TBM-MSB,TBM-MSB,1,SR
40031,40031,MSB-TBM,MSB-TBM,1,SR
40032,40032,TBM-MSB,TBM-MSB,1,SR
40033,40033,MSB-TBM,MSB-TBM,1,SR
40034,40034,TBM-MSB,TBM-MSB,1,SR
40035,40035,MSB-TBM,MSB-TBM,1,SR
40036,40036,TBM-MSB,TBM-MSB,1,SR
40037,40037,MSB-TBM,MSB-TBM,1,SR
40038,40038,TBM-MSB,TBM-MSB,1,SR
40039,40039,MSB-TBM,MSB-TBM,1,SR
40040,40040,TBM-MSB,TBM-MSB,1,SR
40041,40041,MSB-TBM,MSB-TBM,1,SR
40042,40042,TBM-MSB,TBM-MSB,1,SR
40043,40043,MSB-TBM,MSB-TBM,1,SR
40044,40044,TBM-MSB,TBM-MSB,1,SR
40045,40045,MSB-TBM,MSB-TBM,1,SR
40046,40046,TBM-MSB,TBM-MSB,1,SR
40047,40047,MSB-TBM,MSB-TBM,1,SR
40049,40049,MSB-TBM,MSB-TBM,1,SR
40050,40050,TBM-MSB,TBM-MSB,1,SR
40051,40051,MSB-TBM,MSB-TBM,1,SR
40052,40052,TBM-MSB,TBM-MSB,1,SR
40053,40053,MSB-TBM,MSB-TBM,1,SR
40054,40054,TBM-MSB,TBM-MSB,1,SR
40055,40055,MSB-TBM,MSB-TBM,1,SR
40056,40056,TBM-MSB,TBM-MSB,1,SR
40057,40057,MSB-TBM,MSB-TBM,1,SR
40058,40058,TBM-MSB,TBM-MSB,1,SR
40059,40059,MSB-TBM,MSB-TBM,1,SR
40060,40060,TBM-MSB,TBM-MSB,1,SR
40061,40061,MSB-TBM,MSB-TBM,1,SR
40062,40062,TBM-MSB,TBM-MSB,1,SR
40063,40063,MSB-TBM,MSB-TBM,1,SR
40064,40064,TBM-MSB,TBM-MSB,1,SR
40065,40065,MSB-TBM,MSB-TBM,1,SR
40066,40066,TBM-MSB,TBM-MSB,1,SR
40067,40067,MSB-TBM,MSB-TBM,1,SR
40068,40068,TBM-MSB,TBM-MSB,1,SR
40069,40069,MSB-TBM,MSB-TBM,1,SR
40070,40070,TBM-MSB,TBM-MSB,1,SR
40071,40071,MSB-TBM,MSB-TBM,1,SR
40072,40072,TBM-MSB,TBM-MSB,1,SR
40073,40073,MSB-TBM,MSB-TBM,1,SR
40074,40074,TBM-MSB,TBM-MSB,1,SR
40075,40075,MSB-TBM,MSB-TBM,1,SR
40076,40076,TBM-MSB,TBM-MSB,1,SR
