stop_id,stop_name,stop_lat,stop_lon,stop_code,parent_station,location_type,platform_code
MSB,CHENNAI BEACH JN.,13.092295629904,80.291892662644,MSB,,1,
TBM,TAMBARAM,12.92534508,80.11891922,TBM,,1,
MS,CHENNAI EGMORE,13.07825171,80.26103334,MS,,1,
TRL,TIRUVALLUR,13.117196,79.91586,TRL,,1,
VLCY,VELACHERY,12.967256,80.22054,VLCY,,1,
GDY,GUINDY,13.00828343,80.21249612,GDY,,1,
MKK,KODAMBAKKAM,13.05278802,80.2308973,MKK,,1,
CGL,CHENGALPATTU JN.,12.69411,79.98084,CGL,,1,
AVD,AVADI,13.118147,80.101785,AVD,,1,
PZA,PALAVANTANGAL,12.99104415,80.1891505,PZA,,1,
AJJ,ARAKKONAM JN.,13.081652,79.669611,AJJ,,1,
POTI,POTHERI,12.820981,80.036813,POTI,,1,
PER,PERAMBUR,13.107617,80.246783,PER,,1,
VLK,VILLIVAKKAM,13.110224,80.209119,VLK,,1,
CMP,CHROMEPET,12.95127604,80.14084709,CMP,,1,
TI,TIRUNINRAVUR,13.124014,80.026914,TI,,1,
ABU,AMBATTUR,13.114245,80.153109,ABU,,1,
MBM,MAMBALAM,13.04150247,80.22877073,MBM,,1,
PV,PALLAVARAM,12.96818726,80.15260422,PV,,1,
SP,SAIDAPET,13.02381606,80.22398619,SP,,1,
GI,GUDUVANCHERI,12.844676,80.0568,GI,,1,
STM,ST. THOMAS MOUNT,12.99484802,80.19882424,STM,,1,
NBK,NUNGAMBAKKAM,13.06527764,80.23285281,NBK,,1,
TLM,TIRUSULAM,12.98009969,80.16540747,TLM,,1,
MPK,CHENNAI PARK,13.080734135583,80.272890301421,MPK,,1,
MSC,CHENNAI CHETPAT,13.07441652,80.2436481,MSC,,1,
PON,PONNERI,13.332605,80.19901,PON,,1,
PRGL,PERUNGALATTUR,12.904692,80.09451,PRGL,,1,
PAB,PATTABIRAM,13.118774,80.065237,PAB,,1,
MJR,MINJUR,13.282025,80.259837,MJR,,1,
MSF,CHENNAI FORT,13.082692231983,80.282178372145,MSF,,1,
VEU,VEPPAMPATTU,13.123821,79.998751,VEU,,1,
GPD,GUMMIDIPUNDI,13.409115,80.123624,GPD,,1,
VDR,VANDALUR,12.890356,80.083928,VDR,,1,
TBMS,TAMBARAM SANATORIUM,12.93794896,80.13151066,TBMS,,1,
BBQ,BASIN BRIDGE JN.,13.102079,80.271368,BBQ,,1,
ANNR,ANNANUR,13.116517,80.127255,ANNR,,1,
TYMR,TIRUVANMIYUR,12.990599,80.251031,TYMR,,1,
PVM,PATTARAVAKKAM,13.114582,80.166268,PVM,,1,
HC,HINDU COLLEGE,13.118654,80.074979,HC,,1,
WST,WASHERMANPET,13.108552,80.283183,WST,,1,
VJM,VYASARPADI JEEVA,13.108968,80.258128,VJM,,1,
MCPK,CHEPAUK,13.062746,80.280611,MCPK,,1,
TRMN,TARAMANI,12.978686,80.24167,TRMN,,1,
SKL,SINGAPERUMALKOIL,12.761822,80.000699,SKL,,1,
ENR,ENNORE,13.217914,80.321748,ENR,,1,
MMNK,MARAIMALAI NAGAR KAMARAJAR,12.79676,80.020001,MMNK,,1,
CJ,KANCHIPURAM,12.84828692,79.70498241,CJ,,1,
KOK,KORUKKUPET,13.120671,80.278682,KOK,,1,
KBT,KADAMBATTUR,13.100054,79.863106,KBT,,1,
TVT,TIRUVOTTIYUR,13.159532,80.296353,TVT,,1,
MTMY,THIRUMAYILAI,13.03541,80.267473,MTMY,,1,
KOTR,KORATTUR,13.11326,80.184464,KOTR,,1,
PTLR,PUTLUR HALT,13.123063,79.936792,PTLR,,1,
MN,MINAMBAKKAM,12.98469755,80.17524851,MN,,1,
WCN,WIMCO NAGAR,13.181026,80.306223,WCN,,1,
KVP,KAVARAIPPETTAI,13.36353,80.147383,KVP,,1,
PEW,PERAMBUR LOCO WORKS,13.108325,80.225518,PEW,,1,
TO,TIRUVALANGADU,13.090378,79.763489,TO,,1,
SVR,SEVVAPET ROAD,13.125012,79.966714,SVR,,1,
MLHS,LIGHT HOUSE,13.045875,80.276974,MLHS,,1,
MNDY,MANDAVELI,13.028885,80.260853,MNDY,,1,
AIP,ATTIPPATTU,13.261438,80.289153,AIP,,1,
UPM,URAPPAKKAM,12.867348,80.071818,UPM,,1,
APB,ANUPPAMBATTU,13.304406,80.230971,APB,,1,
MTCN,TIRUVALLIKENI,13.055982,80.28049,MTCN,,1,
TNP,TONDIARPET,13.126956,80.281541,TNP,,1,
CTM,KATTANGULATUR,12.80593,80.026348,CTM,,1,
VOC,VOC NAGAR,13.140246,80.287614,VOC,,1,
MCPT,CHINTADARIPET,13.074676,80.273723,MCPT,,1,
MAF,MANAVUR,13.096637,79.801608,MAF,,1,
KTPM,KOTTURPURAM,13.014867,80.248379,KTPM,,1,
PRGD,PERUNGUDI,12.976039,80.232135,PRGD,,1,
KTBR,KASTURBA NAGAR,13.006361,80.247697,KTBR,,1,
GWYR,GREENWAYS ROAD,13.021594,80.252547,GWYR,,1,
PCW,PERAMBUR CARRIAGE WORKS,13.107366,80.239047,PCW,,1,
PWU,PARANUR,12.729959,79.983702,PWU,,1,
WJ,WALAJABAD,12.79706326,79.81808625,WJ,,1,
KAVM,KATHIVAKKAM,13.204528,80.316968,KAVM,,1,
MKAK,MUNDAKAKANNI AMMAN KOIL,13.041182,80.270386,MKAK,,1,
AIPP,ATTIPATTU PUDU NAGAR,13.2492,80.300049,AIPP,,1,
RPM,ROYAPURAM,13.104138,80.293418,RPM,,1,
NPKM,NANDIYAMPAKKAM,13.2687,80.276032,NPKM,,1,
TMLP,TIRUMALPUR,12.95624396,79.67377498,TMLP,,1,
MSU,MOSUR,13.085278,79.712473,MSU,,1,
