route_id,service_id,trip_id,trip_headsign
40001,service_1111110,40001_T1,TBM
40002,service_1111110,40002_T1,MSB
40003,service_1111110,40003_T1,TBM
40004,service_1111110,40004_T1,MSB
40005,service_1111110,40005_T1,TBM
40006,service_1111110,40006_T1,MSB
40007,service_1111110,40007_T1,TBM
40008,service_1111110,40008_T1,MSB
40009,service_1111110,40009_T1,TBM
40010,service_1111110,40010_T1,MSB
40011,service_1111110,40011_T1,TBM
40012,service_1111110,40012_T1,MSB
40013,service_1111110,40013_T1,TBM
40014,service_1111110,40014_T1,MSB
40015,service_1111110,40015_T1,TBM
40016,service_1111110,40016_T1,MSB
40017,service_1111110,40017_T1,TBM
40018,service_1111110,40018_T1,MSB
40019,service_1111110,40019_T1,TBM
40020,service_1111110,40020_T1,MSB
40021,service_1111110,40021_T1,TBM
40022,service_1111110,40022_T1,MSB
40024,service_1111110,40024_T1,MSB
40025,service_1111110,40025_T1,TBM
40026,service_1111110,40026_T1,MSB
40027,service_1111110,40027_T1,TBM
40028,service_1111110,40028_T1,MSB
40029,service_1111110,40029_T1,TBM
40030,service_1111110,40030_T1,MSB
40031,service_1111110,40031_T1,TBM
40032,service_1111110,40032_T1,MSB
40033,service_1111110,40033_T1,TBM
40034,service_1111110,40034_T1,MSB
40035,service_1111110,40035_T1,TBM
40036,service_1111110,40036_T1,MSB
40037,service_1111110,40037_T1,TBM
40038,service_1111110,40038_T1,MSB
40039,service_1111110,40039_T1,TBM
40040,service_1111110,40040_T1,MSB
40041,service_1111110,40041_T1,TBM
40042,service_1111110,40042_T1,MSB
40043,service_1111110,40043_T1,TBM
40044,service_1111110,40044_T1,MSB
40045,service_1111110,40045_T1,TBM
40046,service_1111110,40046_T1,MSB
40047,service_1111110,40047_T1,TBM
40049,service_1111110,40049_T1,TBM
40050,service_1111110,40050_T1,MSB
40051,service_1111110,40051_T1,TBM
40052,service_1111110,40052_T1,MSB
40053,service_1111110,40053_T1,TBM
40054,service_1111110,40054_T1,MSB
40055,service_1111110,40055_T1,TBM
40056,service_1111110,40056_T1,MSB
