from_name,TFI_minutes_peak,TFI_minutes_offpeak,TFI_minutes,walk_time_sec,avg_wait_sec_peak,avg_wait_sec_offpeak,avg_walk_dist_m
VOC NAGAR,90.11189479118202,91.66745034673758,90.88967256895981,366.71368747092123,3600.0,3666.6666666666665,440.05642496510546
VEPPAMPATTU,87.05858444096181,106.80082653268855,96.92970548682518,207.799591961313,3695.0,4428.75,249.35951035357556
PATTARAVAKKAM,77.76556795757163,137.82717521098397,107.79637158427781,195.13051265903815,3300.0,5767.5,234.15661519084574
PERAMBUR LOCO WORKS,56.869693178843434,70.34469317884341,63.60719317884343,262.1815907306059,2250.0,2827.5,314.61790887672703
TAMBARAM SANATORIUM,46.06728591798421,58.42961808406494,52.24845200102457,245.02759465111538,1818.8300150545497,2351.890484888043,294.0331135813384
GUDUVANCHERI,40.76438676739832,80.86038554517948,60.8123861562889,349.262814377826,1538.035503321321,3241.717178276269,419.1153772533912
TONDIARPET,38.172469670385915,42.08748406375765,40.12997686707178,299.85437587976736,1479.6521549206434,1646.429963022847,359.82525105572086
KORATTUR,38.0441501740899,43.20804286159695,40.62609651784343,250.34495319422527,1525.7359724742892,1751.9891052192295,300.41394383307033
TIRUVANMIYUR,37.9942542868681,49.8621751796324,43.92821473325024,259.81967843770235,1463.0214755752415,1981.455467854404,311.7836141252428
NERHU NAGAR ENNORE,34.74627094832337,35.57517688647059,35.16072391739698,289.205732678201,1368.076923076923,1389.6938775510205,347.04687921384124
ENNORE B.T,34.377604735354076,32.774061012746635,33.575832874050356,275.49835734999385,1368.076923076923,1286.9858712715857,330.59802881999263
TONDIARPET-2 DEPOT,33.877070137454176,37.878576006291,35.87782307187259,395.3481684567682,1207.6923076923076,1371.2087912087911,474.4178021481219
E.P.T.S QUARTERS,33.54746438993081,34.23075421781294,33.88910930387188,244.63291622872703,1368.076923076923,1389.6938775510205,293.5594994744724
KANNAN STREET,33.38391758070111,38.35438617926903,35.86915187998507,406.5115082727796,1174.7619047619048,1379.6399345335515,487.8138099273356
WALAJABAD B.T,33.30929362271319,33.67873806715764,33.49401584493541,392.13802094120484,1186.6666666666667,1202.5,470.5656251294458
SEKKADU,33.04469205980981,33.41413650425425,33.22941428203203,382.3681170801571,1186.6666666666667,1202.5,458.8417404961885
VYASARPADI JEEVA,32.924589759271164,44.704015230078824,38.814302494675,216.6506543412835,1332.0892857142858,1801.9667892963637,259.9807852095402
TIRUVALLIKENI,32.762540695154904,50.96861853407052,41.86557961461271,242.393319243131,1306.8996350516486,2081.702428225949,290.8719830917572
KATTANGULATUR,32.5762954525884,56.34977480189906,44.46303512724373,391.5051088133364,1160.2229437229437,2174.488643872707,469.8061305760037
TONDIARPET KARUMARIAMMAN TEMPLE,32.32967859889356,36.44685195699865,34.388265277946104,338.0792064850743,1207.6923076923076,1371.2087912087911,405.69504778208903
MINJUR MARKET,31.855635073849722,30.222164603586013,31.038899838717867,241.13904132665326,1303.186813186813,1223.8222646918298,289.36684959198385
CHROMEPET,31.8417056317322,58.478575361178564,45.160140496455384,84.56179991828078,1417.0771573721026,2546.145158996268,101.47415990193694
MANAVALAN NAGAR,31.760800170462886,29.707858248683,30.734329209572945,305.233026963676,1221.3333333333333,1133.1410256410256,366.2796323564111
POST OFFICE ENNORE,31.758462998633064,32.22444718864071,31.99145509363689,178.1160707177299,1368.076923076923,1389.6938775510205,213.73928486127588
GOVERNMENT SCHOOL - NEAR THIRUNINRAVUR,31.73588759413598,30.69435766685982,31.215122630497902,366.1188784156491,1153.469387755102,1107.8231723888034,439.3426540987789
SINGAPERUMALKOIL,31.426020883526835,61.729271894216716,46.57764638887178,230.8892943736945,1244.107142857143,2528.054870804871,277.06715324843344
HINDU COLLEGE,30.731095020930187,52.53023920384451,41.63066711238735,193.79774687445664,1273.850808227625,2224.045514354441,232.55729624934796
