from_stop_id,to_stop_id,from_mode,to_mode,from_name,to_name,distance_m,walk_time_sec
bus_rJovpGIG,suburban_PZA_3,bus,suburban,PAZAVANTHANGAL SUBWAY,S1,125.38261893760598,104.48551578133832
suburban_PZA_3,bus_rJovpGIG,suburban,bus,S1,PAZAVANTHANGAL SUBWAY,125.38261893760598,104.48551578133832
bus_qSLAxhvc,suburban_KTBR,bus,suburban,IIT MADRAS,KASTURBA NAGAR,442.63442998596435,368.86202498830363
suburban_KTBR,bus_qSLAxhvc,suburban,bus,KASTURBA NAGAR,IIT MADRAS,442.63442998596435,368.86202498830363
bus_9cb31891f7a0bfe0e3ad1c8b0d972324,suburban_GDY,bus,suburban,GUINDY B.T,GUINDY,217.56439182828106,181.30365985690088
suburban_GDY,bus_9cb31891f7a0bfe0e3ad1c8b0d972324,suburban,bus,GUINDY,GUINDY B.T,217.56439182828106,181.30365985690088
bus_EkCoFwMY,metro_SKP_G_2,bus,metro,THIRUVOTTRIYUR POLICE STATION,E1-Near Kaladipet market,367.44294421341544,306.20245351117956
metro_SKP_G_2,bus_EkCoFwMY,metro,bus,E1-Near Kaladipet market,THIRUVOTTRIYUR POLICE STATION,367.44294421341544,306.20245351117956
bus_rTuFtvHV,suburban_KOK_1,bus,suburban,KORUKKUPET,A1,183.90071801181952,153.25059834318293
suburban_KOK_1,bus_rTuFtvHV,suburban,bus,A1,KORUKKUPET,183.90071801181952,153.25059834318293
bus_535b36c2,suburban_NBK_P_3,bus,suburban,NUNGAMBAKKAM RAILWAY STATION,NUNGAMBAKKAM,162.74267462048292,135.6188955170691
suburban_NBK_P_3,bus_535b36c2,suburban,bus,NUNGAMBAKKAM,NUNGAMBAKKAM RAILWAY STATION,162.74267462048292,135.6188955170691
bus_6ff647313a4ad408a4f774593510d004,suburban_TLM_P_1,bus,suburban,CHENNAI AIRPORT,TIRUSULAM,272.73585751923866,227.27988126603222
suburban_TLM_P_1,bus_6ff647313a4ad408a4f774593510d004,suburban,bus,TIRUSULAM,CHENNAI AIRPORT,272.73585751923866,227.27988126603222
bus_FFLftRlg,metro_SEG|0203,bus,metro,EGMORE T N SPORTS AUTHORITY,Egmore Metro,440.51444892960416,367.09537410800345
metro_SEG|0203,bus_FFLftRlg,metro,bus,Egmore Metro,EGMORE T N SPORTS AUTHORITY,440.51444892960416,367.09537410800345
bus_YbVmHVTt,suburban_WST_P_4,bus,suburban,PENCIL FACTORY,WASHERMANPET,389.84964550115313,324.8747045842943
suburban_WST_P_4,bus_YbVmHVTt,suburban,bus,WASHERMANPET,PENCIL FACTORY,389.84964550115313,324.8747045842943
bus_FrOiWYSP,suburban_TRMN_P_1,bus,suburban,THARAMANI,TARAMANI,311.74729454455843,259.7894121204654
suburban_TRMN_P_1,bus_FrOiWYSP,suburban,bus,TARAMANI,THARAMANI,311.74729454455843,259.7894121204654
bus_uHbImzAf,suburban_VJM_P_3,bus,suburban,KANNIGAPURAM VYASARPADI,VYASARPADI JEEVA,324.2387500862877,270.1989584052398
suburban_VJM_P_3,bus_uHbImzAf,suburban,bus,VYASARPADI JEEVA,KANNIGAPURAM VYASARPADI,324.2387500862877,270.1989584052398
bus_EIHKZlEa,suburban_POTI_P_3,bus,suburban,POTHERI,POTHERI,104.34900647113972,86.95750539261644
suburban_POTI_P_3,bus_EIHKZlEa,suburban,bus,POTHERI,POTHERI,104.34900647113972,86.95750539261644
bus_AHLLTOdf,suburban_MS_P_3,bus,suburban,EGMORE RAILWAY STATION - NORTH,CHENNAI EGMORE,230.17315261405437,191.81096051171198
suburban_MS_P_3,bus_AHLLTOdf,suburban,bus,CHENNAI EGMORE,EGMORE RAILWAY STATION - NORTH,230.17315261405437,191.81096051171198
bus_GYxWnXpv,suburban_CTM_1,bus,suburban,KATTANKULATHUR,A1,498.17804890910764,415.148374090923
suburban_CTM_1,bus_GYxWnXpv,suburban,bus,A1,KATTANKULATHUR,498.17804890910764,415.148374090923
bus_PSjGjQXK,metro_SCC_G_1,bus,metro,PARK STATION,B2-Near Central Railway Station,38.40824366158622,32.006869717988515
metro_SCC_G_1,bus_PSjGjQXK,metro,bus,B2-Near Central Railway Station,PARK STATION,38.40824366158622,32.006869717988515
bus_6828e0a42a7ac4bb4bf441c3c6cae0bc,metro_SAN_G_1,bus,metro,UDHYAM THEATER OR ASHOK PILLAR,C-Near ESI Hospital,53.873863682763144,44.894886402302625
metro_SAN_G_1,bus_6828e0a42a7ac4bb4bf441c3c6cae0bc,metro,bus,C-Near ESI Hospital,UDHYAM THEATER OR ASHOK PILLAR,53.873863682763144,44.894886402302625
