stop_id,name,mode,lat,lon,betweenness
metro_105_1,Government Estate,metro,13.07004362,80.2735029,1.163167480858544
metro_105_2,Government Estate,metro,13.07004362,80.2735029,1.1542195382283378
metro_SGE_G_1,A2-Near Omandurar Multispeciality Hospital ,metro,13.0701119,80.2735251,1.1352241989488898
metro_SGE|0109,Government Estate,metro,13.07004362,80.2735029,1.1346437258328792
metro_SGU_G_1,A-Near Guindy Railway Station,metro,13.0090566,80.2123341,0.2721385130293049
metro_SCC_G_5,A3- Near Central Railway Station,metro,13.0822734,80.2744965,0.23106062990567952
suburban_GDY_P_2,GUINDY,suburban,13.00828343,80.21249612,0.20554201235324765
suburban_MBM_P_2,MAMBALAM,suburban,13.04150247,80.22877073,0.14067080884635133
suburban_MS_P_10,CHENNAI EGMORE,suburban,13.07825171,80.26103334,0.1352502041740076
suburban_TBM_P_1,TAMBARAM,suburban,12.92534508,80.11891922,0.13391800307974075
suburban_BBQ_P_1,BASIN BRIDGE JN.,suburban,13.102079,80.271368,0.1096930106016404
bus_392,M.K.B.NAGAR,bus,12.549663,80.143925,0.10717979226757587
bus_FcOkCcps,KANNIGAPURAM RAMALINGA TEMPLE,bus,13.10905,80.26718,0.10337703329813866
bus_1109bc12b06ed3657014242012d64c6f,M.K.B. Nagar,bus,13.12386,80.25927,0.09949723118443415
bus_NEW_kodungaiyur_t_n_e_b_office_2706761242,KODUNGAIYUR T N E B OFFICE,bus,12.549663,80.143925,0.09878653966413542
bus_8f4c6c9d5d7f0a1a6f869fcbdcfba125,Vyasarpadi Ashok Pillar,bus,13.11443,80.26568,0.09815783977767603
bus_2824863a80a3e46022467092f455c14c,Sathiya Moorthy Nagar,bus,13.12273,80.26577,0.09804235550870627
bus_393,SATHIYAMOORTHY NAGAR,bus,12.549663,80.143925,0.09519709463532121
bus_PSjGjQXK,PARK STATION,bus,13.0815,80.27334,0.08546203112048717
bus_gzZgDndk,M.G.R.CENTRAL R.S,bus,13.08202,80.2756,0.08395603011894551
bus_duRJdiSr,GEORGE TOWN PADMANABA THEATRE,bus,13.10219,80.27425,0.08320233440064628
metro_SGE_G_4,B1-Near Kalaivanar Arangam,metro,13.0689044,80.2722294,0.08293354118563066
suburban_MAS_P_13,CHENNAI CENTRAL SUBURBAN ,suburban,13.083037,80.27479,0.08127500893100904
suburban_PER_P_1,PERAMBUR,suburban,13.107617,80.246783,0.07180631958147647
bus_NEW_1761233614862,MOOLAKOTHALAM,bus,12.549663,80.143925,0.06561317753590465
bus_0f36126c34ccc1093f6209f18b290e24,M.G.R.CENTRAL R.S,bus,13.08206,80.27638,0.06559904560661939
bus_NEW_1761234638802,VALLALAR NAGAR,bus,12.549663,80.143925,0.06549769326693487
bus_NEW_1761233660668,GEORGE TOWN PADMANABA THEATRE,bus,12.549663,80.143925,0.06538220899796511
suburban_PRGL_P_1,PERUNGALATTUR,suburban,12.904692,80.09451,0.06528523391250919
bus_NEW_1761233701450,GEORGE TOWN THIRUPALLI STREET,bus,12.549663,80.143925,0.06526672472899533
bus_NEW_1761233713617,SOWCARPET ELEPHANT GATE,bus,12.549663,80.143925,0.06515124046002556
bus_NEW_1761233724359,BLUE STAR,bus,12.549663,80.143925,0.0650357561910558
bus_NEW_1761233567095,VYASARPADI ASHOK PILLAR,bus,12.549663,80.143925,0.06468220445632332
suburban_VDR_P_1,VANDALUR,suburban,12.890356,80.083928,0.06275820341555423
bus_TShNRujB,M.G.R.CENTRAL OR RAJIV GANDHI GOVERNMENT GENERAL HOSPITAL,bus,13.08181,80.27669,0.061677372645447405
bus_953,MUDICHUR,bus,12.549663,80.143925,0.059967696068536656
suburban_TNP_P_2,TONDIARPET,suburban,13.126956,80.281541,0.05955060495185418
bus_yhXmuUeN,PARK STATION,bus,13.08135,80.2732,0.05740188365577984
metro_201_1,Chennai Central Metro,metro,13.0817804,80.27354903,0.05624850541069595
metro_202_2,Egmore Metro,metro,13.07877935,80.26110401,0.056061108970886196
suburban_TVT_P_2,TIRUVOTTIYUR,suburban,13.159532,80.296353,0.05371914237994343
suburban_MPK_P_2,CHENNAI PARK,suburban,13.080734135583,80.272890301421,0.05366052829591179
suburban_VLK_P_1,VILLIVAKKAM,suburban,13.110224,80.209119,0.05284365097846181
suburban_VLK_P_2,VILLIVAKKAM,suburban,13.110224,80.209119,0.04988471570720319
suburban_PER_P_2,PERAMBUR,suburban,13.107617,80.246783,0.04983931403978338
bus_ojqTFFWy,TAMBARAM WEST BUS STAND,bus,12.92761,80.11867,0.04739174825975049
suburban_KOK_P_4,KORUKKUPET,suburban,13.120671,80.278682,0.047237670549222066
bus_965,MANNIVAKKAM RD.JN.,bus,12.549663,80.143925,0.04573216111830703
bus_ejMjPdTH,TAMBARAM WEST BUS STAND,bus,12.92759,80.11886,0.04471598355158985
suburban_ABU_P_1,AMBATTUR,suburban,13.114245,80.153109,0.04100760197599727
bus_RabBrvbh,KULAKKARAI BUS STOP,bus,12.92552,80.10431,0.04004184567443457
bus_TikfrWrm,LAKSHMIPURAM,bus,12.92531,80.10095,0.0399263614054648
bus_jgCiOeaN,TAMBARAM VETTRI NAGAR,bus,12.92323,80.09707,0.03981087713649503
bus_ZUUFaTkv,BHARATHI NAGAR TAMBARAM,bus,12.92159,80.09272,0.03888700298473685
bus_hlYcHDiv,GANDHI NAGAR,bus,12.92091,80.08995,0.03877151871576708
bus_pHbSfQWg,OLD PERUNGALATHUR SRI PADMAVATHI MAHAL,bus,12.91972,80.08709,0.03865603444679731
bus_wBZvskGC,OLD PERUNGALATHUR OR AMBEDKAR STATUE,bus,12.91907,80.08383,0.03854055017782754
bus_WzJZybAt,OLD PERUNGALATHUR PARWATI NAGAR,bus,12.9183,80.08174,0.03842506590885777
bus_KbKyxild,PERUNGALATHUR MADANAPURAM,bus,12.91547,80.07735,0.038309581639888
suburban_TI_P_1,TIRUNINRAVUR,suburban,13.124014,80.026914,0.037781548099789175
suburban_WST_P_2,WASHERMANPET,suburban,13.108552,80.283183,0.03722612035167484
bus_823,ANDARKUPPAM,bus,12.549663,80.143925,0.03679172031709196
metro_202_1,Egmore Metro,metro,13.07877935,80.26110401,0.03526374620483605
bus_DgYBMgPg,KOLAPAKKAM JUNCTION,bus,12.87054,80.10688,0.03514277133056791
bus_VEiYdotb,RAMANUJAR ENGG COLLEGE OR BALAJI PLYTECHNIC,bus,12.86726,80.11548,0.034796318523658595
bus_AhWKwjTz,VENGAMBAKKAM ROAD JUNCTION,bus,12.8628,80.12687,0.03468083425468882
bus_179,TAMBARAM WEST,bus,12.549663,80.143925,0.034394829117120655
bus_qflzswAf,POONAMALLEE B.T,bus,13.05177,80.09496,0.03426109449115334
bus_fFHpEWYG,BASIN BRIDGE RAILWAY STATION,bus,13.10177,80.2706,0.03385631718336865
bus_89,KCBT - KILAMBAKKAM,bus,12.549663,80.143925,0.03355868567520566
bus_LTfflVxG,TAGORE ENGINEERING COLLEGE RATHINAMANGALAM,bus,12.8604,80.13145,0.03289202731825696
bus_qRJySzaf,RATHINAMANGALAM,bus,12.85798,80.13378,0.0328424747600658
bus_SEVBrkvc,IRUMBULIYUR,bus,12.9164,80.10589,0.0322894516214107
bus_VkUBejwv,THIRUMUDIVAKKAM SIDCO,bus,12.97013,80.08972,0.03223870839153309
bus_81b9cef790f71d996d6dbb4a27031701,Kundrathur Natham Murugan Temple,bus,12.98215,80.0894,0.03212322412256332
bus_391,SIDCO,bus,12.549663,80.143925,0.031925807768631645
bus_ABufINme,AMBATTUR POLICE STATION,bus,13.09514,80.16364,0.03184345541457122
suburban_MSF_P_2,CHENNAI FORT,suburban,13.082692231983,80.282178372145,0.03153635542724951
bus_HeRuYpNs,KANDIGAI,bus,12.85096,80.14058,0.030345207617675486
bus_bYtHLndm,VARADHARAJAPURAM RAYAPPA NAGAR,bus,12.92337,80.07727,0.029597575738822008
bus_knSDhEIY,VARADHARAJAPURAM KISHKINDA,bus,12.93934,80.08312,0.029482091469852235
bus_IUBOlCKA,ERUMAIYUR,bus,12.95251,80.08806,0.029425705372886714
bus_qGnNRXVR,ANNA NAGAR WEST DEPOT,bus,13.09402,80.19874,0.029222196848339543
suburban_AVD_P_2,AVADI,suburban,13.118147,80.101785,0.028342616183805562
bus_ogOCBKAf,AVADI B.T,bus,13.11977,80.10203,0.028311319206372487
bus_QDIpIlEK,GUINDY RAILWAY STATION,bus,13.00821,80.21336,0.028307054448824687
