route_id,original_route_id,mode,route_short_name,route_long_name,route_type
bus_3,3,bus,102,ADYAR B.T To SIRUSERI I.T PARK,3
bus_7,7,bus,102,BROADWAY To KELAMBAKKAM B.T,3
bus_8,8,bus,102,KELAMBAKKAM B.T To BROADWAY,3
bus_9,9,bus,102,BROADWAY To SIRUSERI I.T.PARK,3
bus_10,10,bus,102,SIRUSERI I.T.PARK To BROADWAY,3
bus_13,13,bus,102,M.G.R.CENTRAL To KELAMBAKKAM,3
bus_17,17,bus,102C,BROADWAY To SEMMANCHERI BUS STAND,3
bus_18,18,bus,102C,SEMMANCHERI BUS STAND To BROADWAY,3
bus_19,19,bus,102C,TIDEL PARK To SEMMANCHERI TNUHDB,3
bus_20,20,bus,102C,SEMMANCHERI TNUHDB To TIDEL PARK,3
bus_21,21,bus,102KCT,ADYAR B.T To EZHIL NAGAR,3
bus_22,22,bus,102KCT,EZHIL NAGAR To ADYAR B.T,3
bus_23,23,bus,102KCT,ADYAR B.T To KANNAGI NAGAR B.T,3
bus_24,24,bus,102KCT,KANNAGI NAGAR B.T To ADYAR B.T,3
bus_27,27,bus,102KX,BROADWAY To KANNAGI NAGAR EZHIL NAGAR,3
bus_28,28,bus,102KX,KANNAGI NAGAR EZHIL NAGAR To BROADWAY,3
bus_29,29,bus,102K,BROADWAY To KANNAGI NAGAR B.T,3
bus_30,30,bus,102K,KANNAGI NAGAR B.T To BROADWAY,3
bus_36,36,bus,102P,GREAMS ROAD To BROADWAY,3
bus_37,37,bus,102P,BROADWAY To Perumbakkam TNUHDB,3
bus_38,38,bus,102P,Perumbakkam TNUHDB To BROADWAY,3
bus_39,39,bus,102P,BROADWAY To SANTHOME SCHOOL,3
bus_40,40,bus,102P,SANTHOME SCHOOL To BROADWAY,3
bus_42,42,bus,102P,PERUMBAKKAM TNUHDB To GREAMS ROAD,3
bus_43,43,bus,102P,SANTHOME SCHOOL To PERUMBAKKAM TNUHDB,3
bus_44,44,bus,102P,PERUMBAKKAM TNUHDB To SANTHOME SCHOOL,3
bus_45,45,bus,102X,BROADWAY To THIRUPORUR BUS STAND,3
bus_46,46,bus,102X,THIRUPORUR BUS STAND To BROADWAY,3
bus_49,49,bus,102X,M.G.R.CENTRAL R.S To THIRUPORUR BUS STAND,3
bus_50,50,bus,102X,THIRUPORUR To M.G.R.CENTRAL,3
